Source File:- C:\Cubus Projects\vi_F4016_Lastkollektiv\Data\Test Run - 68\Prüfablauf - (1 von 100)\F4016_1_Realkollektiv_1_#2.qtpd
Cycle	Peak Time [s]	Zylinder 2 Weg  [mm] Peak	Zylinder 2 Kraft  [kN] Peak	Trough Time	Zylinder 2 Weg  [mm] Trough	Zylinder 2 Kraft  [kN] Trough	
337	430681,384	6,155	-2,685	430681,409	5,636	-68,678	
338	430681,434	6,155	-2,672	430681,459	5,637	-68,606	
339	430681,484	6,155	-2,715	430681,509	5,636	-68,686	
340	430681,534	6,155	-2,647	430681,559	5,636	-68,642	
341	430681,584	6,155	-2,645	430681,609	5,637	-68,649	
342	430681,634	6,154	-2,769	430681,659	5,636	-68,628	
343	430681,684	6,157	-2,497	430681,709	5,636	-68,693	
344	430681,734	6,155	-2,685	430681,759	5,636	-68,582	
345	430681,784	6,155	-2,650	430681,809	5,636	-68,659	
346	430681,834	6,155	-2,683	430681,859	5,636	-68,621	
347	430681,884	6,155	-2,693	430681,909	5,636	-68,669	
348	430681,934	6,155	-2,664	430681,959	5,637	-68,600	
349	430681,984	6,155	-2,657	430682,009	5,636	-68,682	
350	430682,034	6,155	-2,654	430682,059	5,637	-68,590	
351	430682,084	6,156	-2,664	430682,109	5,636	-68,689	
352	430682,134	6,156	-2,659	430682,159	5,637	-68,543	
353	430682,184	6,155	-2,630	430682,209	5,636	-68,680	
354	430682,234	6,155	-2,701	430682,259	5,636	-68,603	
355	430682,284	6,155	-2,683	430682,309	5,636	-68,658	
356	430682,334	6,155	-2,692	430682,359	5,637	-68,600	
357	430682,384	6,156	-2,667	430682,409	5,636	-68,711	
358	430682,434	6,156	-2,631	430682,459	5,636	-68,579	
359	430682,484	6,156	-2,630	430682,509	5,636	-68,701	
360	430682,534	6,154	-2,730	430682,559	5,637	-68,596	
361	430682,584	6,156	-2,669	430682,609	5,636	-68,698	
362	430682,634	6,155	-2,651	430682,659	5,636	-68,621	
363	430682,684	6,156	-2,624	430682,709	5,636	-68,663	
364	430682,734	6,156	-2,661	430682,759	5,636	-68,663	
365	430682,784	6,155	-2,659	430682,809	5,635	-68,735	
366	430682,834	6,154	-2,733	430682,859	5,636	-68,639	
367	430682,884	6,156	-2,599	430682,909	5,636	-68,684	
368	430682,934	6,155	-2,690	430682,959	5,636	-68,641	
369	430682,984	6,156	-2,633	430683,009	5,636	-68,670	
370	430683,034	6,155	-2,676	430683,059	5,636	-68,642	
371	430683,084	6,156	-2,631	430683,109	5,636	-68,705	
372	430683,134	6,155	-2,651	430683,159	5,636	-68,624	
