Source File:- C:\Cubus Projects\vi_F4016_Lastkollektiv\Data\Test Run - 17\Prüfablauf - (1 von 1)\F4016_1_Ueberlast_mittig_#3.qtpd
Cycle	Peak Time [s]	Zylinder 2 Weg  [mm] Peak	Zylinder 2 Kraft  [kN] Peak	Trough Time	Zylinder 2 Weg  [mm] Trough	Zylinder 2 Kraft  [kN] Trough	
387	88591,934	6,108	-2,931	88591,959	5,558	-70,758	
388	88591,984	6,109	-2,834	88592,009	5,558	-70,747	
389	88592,034	6,109	-2,915	88592,059	5,558	-70,740	
390	88592,084	6,107	-2,872	88592,109	5,558	-70,725	
391	88592,134	6,108	-2,853	88592,159	5,557	-70,755	
392	88592,184	6,108	-2,933	88592,209	5,558	-70,794	
393	88592,234	6,108	-2,941	88592,259	5,558	-70,744	
394	88592,284	6,108	-2,855	88592,309	5,557	-70,768	
395	88592,334	6,108	-2,852	88592,359	5,557	-70,757	
396	88592,384	6,108	-2,839	88592,409	5,557	-70,733	
397	88592,434	6,107	-2,915	88592,459	5,557	-70,729	
398	88592,484	6,108	-2,815	88592,509	5,557	-70,815	
399	88592,534	6,108	-2,957	88592,559	5,558	-70,778	
400	88592,584	6,108	-2,828	88592,609	5,558	-70,747	
401	88592,634	6,108	-2,839	88592,659	5,558	-70,811	
402	88592,684	6,108	-2,809	88592,709	5,558	-70,733	
403	88592,734	6,107	-2,927	88592,759	5,558	-70,748	
404	88592,784	6,108	-2,832	88592,809	5,558	-70,726	
405	88592,834	6,107	-2,882	88592,859	5,558	-70,745	
406	88592,884	6,109	-2,797	88592,909	5,558	-70,725	
407	88592,934	6,107	-2,885	88592,959	5,558	-70,723	
408	88592,984	6,107	-2,874	88593,009	5,558	-70,728	
409	88593,034	6,107	-2,926	88593,059	5,558	-70,725	
410	88593,084	6,108	-2,793	88593,109	5,557	-70,820	
411	88593,134	6,107	-2,895	88593,159	5,557	-70,776	
412	88593,184	6,107	-2,853	88593,209	5,558	-70,739	
413	88593,234	6,110	-2,777	88593,259	5,558	-70,754	
414	88593,284	6,107	-2,901	88593,309	5,557	-70,853	
415	88593,334	6,107	-2,892	88593,359	5,558	-70,787	
